Sitting_Dates,Titles,Debate_Ids,Urls
2024-07-23,Immigration and Home Affairs,C133D2F0-7130-4DE8-BA4D-6E04AD0F5703,https://hansard.parliament.uk/Commons/2024-07-23/debates/C133D2F0-7130-4DE8-BA4D-6E04AD0F5703/ImmigrationandHomeAffairs
2024-05-22,Immigration and Asylum,F0B90D81-16D5-4A1C-A075-38C5447A9879,https://hansard.parliament.uk/Commons/2024-05-22/debates/F0B90D81-16D5-4A1C-A075-38C5447A9879/ImmigrationandAsylum
2024-05-14,Immigration: Legal Aid,13C8A7C1-F7B9-488D-8ADE-4E750618257C,https://hansard.parliament.uk/Commons/2024-05-14/debates/13C8A7C1-F7B9-488D-8ADE-4E750618257C/ImmigrationLegalAid
2024-05-14,Rwanda: Asylum and Immigration,E4ED4664-F96B-4348-94C1-198ABD95E834,https://hansard.parliament.uk/Commons/2024-05-14/debates/E4ED4664-F96B-4348-94C1-198ABD95E834/RwandaAsylumandImmigration
2024-05-07,Illegal Immigration: Costs,64997110-88BF-4157-8177-D9687A25841B,https://hansard.parliament.uk/Commons/2024-05-07/debates/64997110-88BF-4157-8177-D9687A25841B/IllegalImmigrationCosts
2024-05-01,Immigration Update,BB9F92E8-F7E3-4679-B016-DBFB356BB173,https://hansard.parliament.uk/Commons/2024-05-01/debates/BB9F92E8-F7E3-4679-B016-DBFB356BB173/ImmigrationUpdate
2024-04-30,Draft Immigration (Leave to Enter  and Remain) (Amendment) Order 2024,45346c62-0b58-4b03-914c-c435fa6c19bc,https://hansard.parliament.uk/Commons/2024-04-30/debates/45346c62-0b58-4b03-914c-c435fa6c19bc/DraftImmigration(LeavetoEnterandRemain)(Amendment)Order2024
2024-04-22,Safety of Rwanda  (Asylum and Immigration) Bill,C6B3ACCA-CD05-4675-8026-6857AC19F5E0,https://hansard.parliament.uk/Commons/2024-04-22/debates/C6B3ACCA-CD05-4675-8026-6857AC19F5E0/SafetyofRwanda(AsylumandImmigration)Bill
2024-04-22,Safety of Rwanda  (Asylum and Immigration) Bill,7DC010C7-A0EF-4165-B09E-86BB276B00C5,https://hansard.parliament.uk/Commons/2024-04-22/debates/7DC010C7-A0EF-4165-B09E-86BB276B00C5/SafetyofRwanda(AsylumandImmigration)Bill
2024-04-17,Safety of Rwanda (Asylum and Immigration) Bill,797BA1A6-F949-4371-BEB6-BB224AB71ED4,https://hansard.parliament.uk/Commons/2024-04-17/debates/797BA1A6-F949-4371-BEB6-BB224AB71ED4/SafetyofRwanda(AsylumandImmigration)Bill
2024-04-15,Safety of Rwanda  (Asylum and Immigration) Bill,C859A528-24DF-417D-8D9C-B5ECE0417E5A,https://hansard.parliament.uk/Commons/2024-04-15/debates/C859A528-24DF-417D-8D9C-B5ECE0417E5A/SafetyofRwanda(AsylumandImmigration)Bill
2024-03-26,Legal Aid: Immigration Cases,160A2E57-B2F8-4110-ADDE-7859CF795F89,https://hansard.parliament.uk/Commons/2024-03-26/debates/160A2E57-B2F8-4110-ADDE-7859CF795F89/LegalAidImmigrationCases
2024-03-18,Safety of Rwanda  (Asylum and Immigration) Bill,CBCCA842-22CA-43F6-AE27-B635BD8D7264,https://hansard.parliament.uk/Commons/2024-03-18/debates/CBCCA842-22CA-43F6-AE27-B635BD8D7264/SafetyofRwanda(AsylumandImmigration)Bill
2024-03-13,Immigration health surcharge,93851F73-B3A1-4AE0-A52B-673E5256AC5E,https://hansard.parliament.uk/Commons/2024-03-13/debates/93851F73-B3A1-4AE0-A52B-673E5256AC5E/Immigrationhealthsurcharge
2024-03-04,Independent Chief Inspector of Borders and Immigration,97CB98BE-699C-408F-8B53-1CA4500848D6,https://hansard.parliament.uk/Commons/2024-03-04/debates/97CB98BE-699C-408F-8B53-1CA4500848D6/IndependentChiefInspectorofBordersandImmigration
2024-02-20,Immigration Rules and  Border Security,30170403-E9FD-4FF6-B977-5DC295F2B734,https://hansard.parliament.uk/Commons/2024-02-20/debates/30170403-E9FD-4FF6-B977-5DC295F2B734/ImmigrationRulesandBorderSecurity
2024-02-01,Safety of Rwanda (Asylum and Immigration) Bill: ECHR,ED8BBEA2-379B-44E9-895C-8085E7D29CDD,https://hansard.parliament.uk/Commons/2024-02-01/debates/ED8BBEA2-379B-44E9-895C-8085E7D29CDD/SafetyofRwanda(AsylumandImmigration)BillECHR
2024-01-17,Immigration,30799C03-E8D5-4174-8C02-143E89E685B1,https://hansard.parliament.uk/Commons/2024-01-17/debates/30799C03-E8D5-4174-8C02-143E89E685B1/Immigration
2024-01-17,Safety of Rwanda  (Asylum and Immigration) Bill,87C04B7F-2159-4F09-8825-3FC68BE13256,https://hansard.parliament.uk/Commons/2024-01-17/debates/87C04B7F-2159-4F09-8825-3FC68BE13256/SafetyofRwanda(AsylumandImmigration)Bill
2024-01-17,Safety of Rwanda  (Asylum and Immigration) Bill,5D699C11-620A-4804-97A6-E49E3F870A23,https://hansard.parliament.uk/Commons/2024-01-17/debates/5D699C11-620A-4804-97A6-E49E3F870A23/SafetyofRwanda(AsylumandImmigration)Bill
2024-01-16,Safety of Rwanda  (Asylum and Immigration) Bill,6EF16CCA-91F1-469C-BC41-1D01B1FD888D,https://hansard.parliament.uk/Commons/2024-01-16/debates/6EF16CCA-91F1-469C-BC41-1D01B1FD888D/SafetyofRwanda(AsylumandImmigration)Bill
2024-01-15,"Draft Immigration Act 2014 (Residential Accommodation) (Maximum Penalty) Order 2023 

Draft Immigration (Employment of Adults Subject to Immigration Control) (Maximum Penalty) (Amendment)  Order 2023",97606fa9-7b7c-42ae-87eb-4aac07c7f193,"https://hansard.parliament.uk/Commons/2024-01-15/debates/97606fa9-7b7c-42ae-87eb-4aac07c7f193/DraftImmigrationAct2014(ResidentialAccommodation)(MaximumPenalty)Order2023

DraftImmigration(EmploymentofAdultsSubjecttoImmigrationControl)(MaximumPenalty)(Amendment)Order2023"
2024-01-10,Draft Immigration (Health Charge) (amendment) Order 2023,0d173dde-8c92-45dc-b369-6d3bae114825,https://hansard.parliament.uk/Commons/2024-01-10/debates/0d173dde-8c92-45dc-b369-6d3bae114825/DraftImmigration(HealthCharge)(amendment)Order2023
2024-01-10,"Draft Nationality, Immigration and Asylum Act 2002 (Amendment of List of Safe States) Regulations 2024",5bfc5fa4-6fb2-434b-952b-d002e546a5f5,"https://hansard.parliament.uk/Commons/2024-01-10/debates/5bfc5fa4-6fb2-434b-952b-d002e546a5f5/DraftNationality,ImmigrationandAsylumAct2002(AmendmentofListofSafeStates)Regulations2024"
2023-12-12,Safety of Rwanda  (Asylum and Immigration) Bill,FA4DDF9F-19EF-4954-9BFA-6997E4A74E79,https://hansard.parliament.uk/Commons/2023-12-12/debates/FA4DDF9F-19EF-4954-9BFA-6997E4A74E79/SafetyofRwanda(AsylumandImmigration)Bill
2023-11-21,Legal Aid: Immigration Cases,69378927-18E4-4945-B036-8F3FD0D4705A,https://hansard.parliament.uk/Commons/2023-11-21/debates/69378927-18E4-4945-B036-8F3FD0D4705A/LegalAidImmigrationCases
2023-11-20,Draft Immigration (Age Assessments) Regulations 2023,08404159-b45c-4fad-9277-0fab7640ed07,https://hansard.parliament.uk/Commons/2023-11-20/debates/08404159-b45c-4fad-9277-0fab7640ed07/DraftImmigration(AgeAssessments)Regulations2023
2023-11-15,Illegal Immigration,B5A7AB50-06A1-4504-8FCB-554338FB8FA7,https://hansard.parliament.uk/Commons/2023-11-15/debates/B5A7AB50-06A1-4504-8FCB-554338FB8FA7/IllegalImmigration
2023-07-12,Draft Immigration and Nationality (Fees) (Amendment) Order 2023,34669799-f681-48ea-bd92-144b5b8b3dca,https://hansard.parliament.uk/Commons/2023-07-12/debates/34669799-f681-48ea-bd92-144b5b8b3dca/DraftImmigrationandNationality(Fees)(Amendment)Order2023
2023-06-27,Population Growth:  Impact of Immigration,18903CC8-FF6B-4D42-B361-D8B4FC404B24,https://hansard.parliament.uk/Commons/2023-06-27/debates/18903CC8-FF6B-4D42-B361-D8B4FC404B24/PopulationGrowthImpactofImmigration
2023-06-06,Immigration Rules:  Offshore Workers,773245CB-DDA8-243A-A316-9E9551A45AAE,https://hansard.parliament.uk/Commons/2023-06-06/debates/773245CB-DDA8-243A-A316-9E9551A45AAE/ImmigrationRulesOffshoreWorkers
2023-05-22,Illegal Immigration Bill: Devolved Administrations,A620D6E3-9EE9-4651-84B9-6602FC3E55AB,https://hansard.parliament.uk/Commons/2023-05-22/debates/A620D6E3-9EE9-4651-84B9-6602FC3E55AB/IllegalImmigrationBillDevolvedAdministrations
2023-05-22,Immigration Policies: Scotland,06F85854-DA6B-48EA-B177-B3048DA04838,https://hansard.parliament.uk/Commons/2023-05-22/debates/06F85854-DA6B-48EA-B177-B3048DA04838/ImmigrationPoliciesScotland
2023-03-30,Illegal Immigration Bill: ECHR Compatibility,A56B9461-9238-4A79-94B0-61782A274DFF,https://hansard.parliament.uk/Commons/2023-03-30/debates/A56B9461-9238-4A79-94B0-61782A274DFF/IllegalImmigrationBillECHRCompatibility
2023-03-20,Immigration and Nationality Fees (Exemption for NHS Clinical Staff),C016D4F4-C6F4-442B-A441-C6EB81A04313,https://hansard.parliament.uk/Commons/2023-03-20/debates/C016D4F4-C6F4-442B-A441-C6EB81A04313/ImmigrationandNationalityFees(ExemptionforNHSClinicalStaff)
2023-03-20,Dungavel House Immigration Removal Centre,CAF31EED-C602-4A1D-A6C6-6938C8A475C4,https://hansard.parliament.uk/Commons/2023-03-20/debates/CAF31EED-C602-4A1D-A6C6-6938C8A475C4/DungavelHouseImmigrationRemovalCentre
2023-03-20,Asylum and Immigration Applications Backlog,9812022F-EBBB-4151-A653-BEE487DE0372,https://hansard.parliament.uk/Commons/2023-03-20/debates/9812022F-EBBB-4151-A653-BEE487DE0372/AsylumandImmigrationApplicationsBacklog
2023-03-01,Draft Special Immigration Appeals Commission (Procedure) (Amendment) Rules 2023,0b75a5fc-c17a-4e84-a9ed-f5cfafdb7636,https://hansard.parliament.uk/Commons/2023-03-01/debates/0b75a5fc-c17a-4e84-a9ed-f5cfafdb7636/DraftSpecialImmigrationAppealsCommission(Procedure)(Amendment)Rules2023
2023-01-30,Immigration Fees for Healthcare Workers,5154C9F3-4E45-4361-B117-FF3B5306B9FB,https://hansard.parliament.uk/Commons/2023-01-30/debates/5154C9F3-4E45-4361-B117-FF3B5306B9FB/ImmigrationFeesforHealthcareWorkers
2023-01-23,Draft Immigration (Leave to Enter and Remain) (Amendment) Order 2023,906b6efc-337a-42c2-8e25-ccedd29f58db,https://hansard.parliament.uk/Commons/2023-01-23/debates/906b6efc-337a-42c2-8e25-ccedd29f58db/DraftImmigration(LeavetoEnterandRemain)(Amendment)Order2023
2023-01-10,Immigration Courts: Waiting Times,34136C79-8070-441E-9246-AD8916DEF04B,https://hansard.parliament.uk/Commons/2023-01-10/debates/34136C79-8070-441E-9246-AD8916DEF04B/ImmigrationCourtsWaitingTimes
2022-12-19,Immigration Policies: Impact on Scotland,D8ECE2E8-80EB-408B-AB6B-983C4B53CDD6,https://hansard.parliament.uk/Commons/2022-12-19/debates/D8ECE2E8-80EB-408B-AB6B-983C4B53CDD6/ImmigrationPoliciesImpactonScotland
2022-12-13,Illegal Immigration,DB61C374-16B5-411C-9A29-CC3DCA119EB3,https://hansard.parliament.uk/Commons/2022-12-13/debates/DB61C374-16B5-411C-9A29-CC3DCA119EB3/IllegalImmigration
2022-12-12,Draft Immigration (Persons Designated under Sanctions Regulations) (EU Exit) (Amendment) Regulations 2022,2b176c2a-a69d-4330-b139-90da7d24178f,https://hansard.parliament.uk/Commons/2022-12-12/debates/2b176c2a-a69d-4330-b139-90da7d24178f/DraftImmigration(PersonsDesignatedunderSanctionsRegulations)(EUExit)(Amendment)Regulations2022
2022-11-16,Draft Immigration Skills Charge (Amendment) Regulations 2022,802bd733-7077-4a00-b0fd-a8035d5cb607,https://hansard.parliament.uk/Commons/2022-11-16/debates/802bd733-7077-4a00-b0fd-a8035d5cb607/DraftImmigrationSkillsCharge(Amendment)Regulations2022
2022-09-23,Campsfield House Immigration Removal Centre,ADB16857-18FF-4BBF-AD5E-A478A9C303FE,https://hansard.parliament.uk/Commons/2022-09-23/debates/ADB16857-18FF-4BBF-AD5E-A478A9C303FE/CampsfieldHouseImmigrationRemovalCentre
2022-06-20,Points-based Immigration System: Labour Shortages,BDDB219B-29FB-4ED7-9047-FC146EBE6930,https://hansard.parliament.uk/Commons/2022-06-20/debates/BDDB219B-29FB-4ED7-9047-FC146EBE6930/Points-basedImmigrationSystemLabourShortages
2022-04-25,Illegal Immigration,C707BE6C-A96A-40E5-AF8A-D04B7CA010A0,https://hansard.parliament.uk/Commons/2022-04-25/debates/C707BE6C-A96A-40E5-AF8A-D04B7CA010A0/IllegalImmigration
2022-02-28,Immigration Policy,671BC36E-F9ED-41BC-A925-A57BCA047A57,https://hansard.parliament.uk/Commons/2022-02-28/debates/671BC36E-F9ED-41BC-A925-A57BCA047A57/ImmigrationPolicy
2022-02-25,ILLEGAL IMMIGRATION (OFFENCES) BILL,2FE609AD-0F4E-4846-9846-C30707A424B5,https://hansard.parliament.uk/Commons/2022-02-25/debates/2FE609AD-0F4E-4846-9846-C30707A424B5/ILLEGALIMMIGRATION(OFFENCES)BILL
